"mean.0","lower.0","upper.0","mean.1","lower.1","upper.1","mean.2","lower.2","upper.2","mean.3","lower.3","upper.3","mean.4","lower.4","upper.4","mean.5","lower.5","upper.5","mean.6","lower.6","upper.6","mean.7","lower.7","upper.7"
0,-0.0113094668487971,0.0113094668487971,0,-0.0176272087113321,0.0176272087113321,0,-0.0142461008310656,0.0142461008310656,0,-0.00416666666666667,0.00416666666666667,0,-0.0137040094037247,0.0137040094037247,0,-0.0184300878926455,0.0184300878926455,0,-0.0112219065612171,0.0112219065612171,0,-0.0114115781626213,0.0114115781626213
0.0532750000000002,0.0169774519430102,0.0895725480569902,0.0723104166666668,0.0330972997453423,0.111523533587991,0.0643250000000002,0.0193560783524733,0.109293921647527,0.0264428670634922,-0.00357340063512045,0.0564591347621048,0.0537868055555557,0.00986707864210815,0.0977065324690032,0.0726600000000002,0.0300750636144838,0.115244936385516,0.0293750000000001,-0.0035742550612439,0.0623242550612441,0.0576750000000003,0.0188113185953361,0.0965386814046644
0.0973749999999999,0.0448090541641628,0.149940945835837,0.107520833333333,0.0624526729338881,0.152588993732779,0.11075,0.058727156338525,0.162772843661475,0.0581074015567766,0.0191592176464887,0.0970555854670645,0.0789628373015873,0.029053887213155,0.12887178739002,0.112935416666667,0.06312238859491,0.162748444738423,0.0538,0.0101611006629001,0.0974388993370998,0.123625,0.0678574279176545,0.179392572082345
0.14065,0.0747054066360298,0.20659459336397,0.133891666666667,0.0778445603318407,0.189938773001493,0.149575,0.0944179068546718,0.204732093145328,0.0891583443639695,0.0449255432693579,0.133391145458581,0.101166429265179,0.0444391322296826,0.157893726300676,0.1502375,0.100065927962514,0.200409072037486,0.0764000000000001,0.0251525314741984,0.127647468525802,0.16595,0.10605870537618,0.22584129462382
0.177175,0.104748918734514,0.249601081265486,0.163411706349207,0.100190294325097,0.226633118373316,0.18155,0.117928466735315,0.245171533264686,0.124365977604267,0.0730565795546053,0.175675375653929,0.123033952713953,0.0662230107632235,0.179844894664682,0.175816666666667,0.119818182339735,0.231815150993598,0.1003,0.0421484651096723,0.158451534890328,0.1982,0.132663095445499,0.263736904554502
0.208375,0.131708847992504,0.285041152007495,0.193305059523809,0.123425382459386,0.263184736588233,0.206375,0.138849869062838,0.273900130937161,0.151130111914158,0.0943599753073951,0.207900248520921,0.142523711011211,0.0843837767612041,0.200663645261218,0.199395833333333,0.141051005972461,0.257740660694205,0.127375,0.0579779075580687,0.196772092441931,0.22525,0.159202209680712,0.291297790319287
0.237825,0.157468585140383,0.318181414859617,0.220925416666666,0.147911569378166,0.293939263955167,0.230925,0.162533805908268,0.299316194091732,0.175645979229792,0.117450921534457,0.233841036925127,0.162893099123099,0.102135007173705,0.223651191072493,0.224597916666667,0.165844676201851,0.283351157131482,0.150525,0.0769885260224525,0.224061473977547,0.24775,0.180643966761775,0.314856033238224
0.265,0.18794728290241,0.34205271709759,0.249078809523809,0.17266536350236,0.325492255545259,0.255125,0.185149918757107,0.325100081242893,0.198833724862445,0.139427923545135,0.258239526179755,0.182897269766368,0.118706111268395,0.247088428264341,0.245057916666667,0.183148086942144,0.306967746391189,0.170825,0.0937615873406382,0.247888412659362,0.26885,0.199503829131369,0.338196170868631
0.291475,0.212278358944047,0.370671641055953,0.273943333333333,0.196247472900521,0.351639193766146,0.2775,0.204280391211704,0.350719608788296,0.21922576694769,0.156541167139244,0.281910366756135,0.202889102369463,0.138010494041886,0.26776771069704,0.264081666666667,0.198113944885029,0.330049388448304,0.19045,0.113201401568728,0.267698598431272,0.2874,0.218088887593472,0.356711112406527
0.31815,0.23752067292952,0.39877932707048,0.29488086996337,0.216133959022827,0.373627780903913,0.2972,0.223132326875889,0.371267673124111,0.240091320588845,0.174575426493806,0.305607214683885,0.223154062729658,0.157571246599237,0.288736878860078,0.282452777777778,0.216368589253768,0.348536966301788,0.21145,0.128602796722466,0.294297203277534,0.30725,0.234962781771658,0.379537218228342
0.33725,0.257181768364902,0.417318231635098,0.318166643772894,0.236968681231523,0.399364606314265,0.32,0.246573750324464,0.393426249675536,0.26186633415647,0.191982157537885,0.331750510775054,0.242319281454676,0.17509602338512,0.309542539524231,0.300979166666667,0.233290209325106,0.368668124008228,0.229125,0.14325352053884,0.31499647946116,0.327375,0.249086509450461,0.405663490549539
0.3591,0.279098011388352,0.439101988611648,0.340776465201465,0.258846205790921,0.422706724612009,0.337375,0.264012079832142,0.410737920167858,0.283160694860016,0.21064601631349,0.355675373406542,0.26150815181199,0.192837358058067,0.330178945565914,0.31611875,0.249416945188463,0.382820554811537,0.248325,0.161456750316757,0.335193249683243,0.34805,0.272439204314183,0.423660795685817
0.377625,0.299890851432364,0.455359148567636,0.356826316391941,0.276239398363703,0.437413234420179,0.354125,0.278860839783259,0.429389160216741,0.303121677435627,0.228391939549546,0.377851415321708,0.277801410207027,0.207904200426214,0.34769861998784,0.3323375,0.266253347344594,0.398421652655405,0.267075,0.18024091418345,0.35390908581655,0.368575,0.294895329716188,0.442254670283812
0.394175,0.317074731590034,0.471275268409967,0.370403548534799,0.290911395889327,0.44989570118027,0.370725,0.295624650466859,0.445825349533141,0.321948037103136,0.245354049774864,0.398542024431407,0.294621250936698,0.225980149489624,0.363262352383772,0.344939583333333,0.2794034562755,0.410475710391167,0.2822,0.193834311243023,0.370565688756977,0.38715,0.313666149647516,0.460633850352484
0.410675,0.33646973680487,0.484880263195131,0.388123958333333,0.312573213190271,0.463674703476395,0.387875,0.30976088459662,0.46598911540338,0.337699881256544,0.261725101221532,0.413674661291557,0.311923784168515,0.243879228897316,0.379968339439713,0.360961964285714,0.294224368234982,0.427699560336446,0.300125,0.211298919364805,0.388951080635195,0.404525,0.330014226085801,0.479035773914199
0.4255,0.350564842845446,0.500435157154554,0.4003875,0.325745555049539,0.475029444950461,0.402625,0.323722030083677,0.481527969916323,0.353356243241273,0.277755424064738,0.428957062417809,0.328960001873089,0.260931877120296,0.396988126625883,0.378660416666667,0.30912899264183,0.448191840691503,0.319,0.228503334510898,0.409496665489102,0.423125,0.345409532986468,0.500840467013532
0.440125,0.365262014884497,0.514987985115503,0.417643958333333,0.341513161951387,0.49377475471528,0.416725,0.3418389797068,0.4916110202932,0.368047903948349,0.293092530480321,0.443003277416377,0.34472479065139,0.275541864976153,0.413907716326627,0.397148452380952,0.325063882205709,0.469233022556196,0.336425,0.244928425714071,0.42792157428593,0.43835,0.362835585695996,0.513864414304004
0.458275,0.383480926644614,0.533069073355386,0.434930833333333,0.355101693878918,0.514759972787749,0.4336,0.360345634804457,0.506854365195543,0.382717433986003,0.307862344874142,0.457572523097864,0.35944962824759,0.288475673382808,0.430423583112373,0.4158625,0.343161106497924,0.488563893502076,0.35075,0.26007875178688,0.44142124821312,0.452525,0.375453035236376,0.529596964763624
0.474975,0.399712416737173,0.550237583262827,0.450117529761905,0.370967261126286,0.529267798397523,0.448825,0.376727585015309,0.520922414984691,0.393839122996339,0.319604386451925,0.468073859540752,0.374432376564949,0.301508604783526,0.447356148346371,0.43299246031746,0.357667256269749,0.508317664365171,0.366825,0.276715039816664,0.456934960183336,0.466,0.388755798491623,0.543244201508376
0.493225,0.419016810227624,0.567433189772376,0.462668988095238,0.384166056698161,0.541171919492315,0.464625,0.39139041169473,0.53785958830527,0.404220039520761,0.328979852847958,0.479460226193564,0.38942191300971,0.314871462711174,0.463972363308247,0.446918928571429,0.370496263039036,0.523341594103821,0.382825,0.291232292232615,0.474417707767385,0.4783,0.402802592191132,0.553797407808868
0.507375,0.435819082224551,0.578930917775449,0.475430357142857,0.396123612773949,0.554737101511765,0.4775,0.403516996218828,0.551483003781172,0.413628550654226,0.338508262306052,0.4887488390024,0.402878068214274,0.327848363497758,0.477907772930791,0.461485119047619,0.384556025292502,0.538414212802736,0.3985,0.30559717795764,0.49140282204236,0.4925,0.416247826657898,0.568752173342102
0.523,0.451119592869177,0.594880407130823,0.490042738095238,0.409680573124796,0.570404903065679,0.491475,0.416895289575041,0.566054710424959,0.423722238355367,0.348642149617774,0.49880232709296,0.417204398680036,0.343344075247105,0.491064722112968,0.475766666666667,0.398197679233235,0.553335654100098,0.4134,0.321815656801002,0.504984343198998,0.50295,0.425680156025272,0.580219843974728
0.537875,0.463413655713657,0.612336344286343,0.506132093253968,0.428876457420778,0.583387729087159,0.508275,0.432547305514289,0.584002694485711,0.434826751355111,0.359830493477129,0.509823009233093,0.430179088491922,0.356143111555247,0.504215065428598,0.490530476190476,0.412336915771207,0.568724036609746,0.427125,0.332276386569455,0.521973613430545,0.5148,0.439069817073636,0.590530182926364
0.552375,0.47628994077433,0.62846005922567,0.519999107142857,0.441775026235711,0.598223188050004,0.523975,0.446889439016628,0.601060560983372,0.446709784509608,0.373006600758723,0.520412968260492,0.442787433750387,0.367570135922581,0.518004731578192,0.505314166666667,0.426890788326134,0.583737545007199,0.4379,0.340285964124005,0.535514035875995,0.5288,0.454067750663391,0.603532249336609
0.56605,0.490862372740395,0.641237627259605,0.531671686507937,0.453076394608764,0.610266978407109,0.53995,0.458931405675841,0.620968594324159,0.457696203796596,0.384125145098892,0.531267262494301,0.456517041960762,0.379434507403014,0.533599576518509,0.520082718253968,0.442986193802396,0.59717924270554,0.451775,0.349083755032723,0.554466244967277,0.5422,0.468675558932125,0.615724441067875
0.581625,0.507419294407881,0.655830705592119,0.545488988095238,0.466237431111836,0.62474054507864,0.554625,0.471317144046096,0.637932855953904,0.468332176909336,0.39426038682658,0.542403966992093,0.470047964072479,0.391646809986448,0.548449118158511,0.533713888888889,0.459166008902934,0.608261768874844,0.46425,0.360120915870655,0.568379084129345,0.557625,0.483516344614611,0.631733655385389
0.596175,0.519939838337304,0.672410161662696,0.56029130952381,0.481545176978894,0.639037442068725,0.569725,0.48999146729654,0.64945853270346,0.478987269414989,0.404026754329628,0.55394778450035,0.483505887545435,0.404237435730499,0.562774339360371,0.550017083333333,0.47571624941958,0.624317917247087,0.474925,0.370342825673451,0.579507174326549,0.571475,0.497647382908193,0.645302617091808
0.6103,0.536179500238811,0.684420499761189,0.572649523809524,0.495031670948799,0.650267376670249,0.58595,0.509037695878666,0.662862304121334,0.489236032822272,0.414020703792277,0.564451361852268,0.496337060652177,0.415953590400684,0.57672053090367,0.56662,0.49418798698407,0.63905201301593,0.489275,0.385634635632334,0.592915364367666,0.583775,0.512621538908831,0.654928461091169
0.6228,0.550010799724357,0.695589200275643,0.585203273809524,0.509699918478277,0.660706629140771,0.603225,0.524019431408142,0.682430568591858,0.499156241989255,0.423506880883686,0.574805603094824,0.508083784569846,0.42779134278066,0.588376226359031,0.579470277777778,0.508426263147239,0.650514292408316,0.5014,0.397306195179443,0.605493804820557,0.595525,0.523517972600242,0.667532027399758
0.6357,0.561790349996524,0.709609650003476,0.597173037518038,0.520652009155273,0.673694065880802,0.621375,0.543499666610633,0.699250333389367,0.508847506983036,0.432866176654788,0.584828837311283,0.51933022702292,0.439181726610299,0.599478727435541,0.595363888888889,0.523492418839427,0.667235358938351,0.513675,0.410580545540005,0.616769454459995,0.608075,0.534997057142232,0.681152942857768
0.64875,0.57522708733416,0.722272912665839,0.609825441919192,0.535554931277392,0.684095952560992,0.6345,0.557811926572246,0.711188073427754,0.518078938990199,0.441786452527891,0.594371425452507,0.530194094121446,0.449931900950525,0.610456287292367,0.609836904761905,0.53758377283823,0.682090036685579,0.52625,0.424427900733731,0.628072099266269,0.620875,0.547792288624325,0.693957711375675
0.66295,0.59260419111075,0.73329580888925,0.620399334415584,0.54577492243647,0.695023746394699,0.65005,0.57614470638552,0.723955293614479,0.52775456821289,0.450819131585723,0.604690004840057,0.540900671092992,0.460470784104296,0.621330558081687,0.621386587301587,0.551476042093616,0.691297132509558,0.5375,0.437141425705905,0.637858574294095,0.633325,0.563335773736743,0.703314226263256
0.6777,0.604503950815897,0.750896049184103,0.632954675324675,0.558236798325675,0.707672552323675,0.664075,0.593311081249201,0.734838918750799,0.537295426197564,0.459604587455297,0.614986264939831,0.551588770606981,0.471432604007355,0.631744937206608,0.631830773809524,0.561653648644485,0.702007898974563,0.5496,0.449912533841556,0.649287466158444,0.646025,0.580008191037005,0.712041808962995
0.6927,0.622032475705604,0.763367524294395,0.643364464285714,0.570684423797371,0.716044504774057,0.6804,0.611298881004251,0.749501118995749,0.545427202190698,0.467468830643925,0.62338557373747,0.561891399419397,0.481855682765067,0.641927116073728,0.64401119047619,0.573100213474883,0.714922167477497,0.560275,0.461297337613403,0.659252662386597,0.6598,0.59339836773334,0.72620163226666
0.707175,0.636644314114244,0.777705685885756,0.655463333333333,0.585754516037713,0.725172150628954,0.69725,0.628613845408038,0.765886154591962,0.553760739345753,0.475642043839463,0.631879434852043,0.572861140027976,0.492614653401954,0.653107626653998,0.656476666666667,0.587182804593698,0.725770528739636,0.5703,0.471148116711804,0.669451883288195,0.672425,0.606088264325112,0.738761735674888
