"c.0.909090909090909..0.770334928229665..0.894736842105263..0.880382775119617..","c.0.937799043062201..0.76555023923445..0.904306220095694..0.894736842105263..","c.0.899521531100478..0.77511961722488..0.894736842105263..0.899521531100478..","c.0.789473684210526..0.744019138755981..0.741626794258373..0.870813397129187..","c.0.751196172248804..0.760765550239234..0.839712918660287..0.844497607655502..","c.0.822966507177033..0.767942583732057..0.842105263157895..0.923444976076555..","c.0.91866028708134..0.76555023923445..0.889952153110048..0.851674641148325..","c.0.956937799043062..0.755980861244019..0.889952153110048..0.861244019138756.."
0.909090909090909,0.937799043062201,0.899521531100478,0.789473684210526,0.751196172248804,0.822966507177033,0.91866028708134,0.956937799043062
0.770334928229665,0.76555023923445,0.77511961722488,0.744019138755981,0.760765550239234,0.767942583732057,0.76555023923445,0.755980861244019
0.894736842105263,0.904306220095694,0.894736842105263,0.741626794258373,0.839712918660287,0.842105263157895,0.889952153110048,0.889952153110048
0.880382775119617,0.894736842105263,0.899521531100478,0.870813397129187,0.844497607655502,0.923444976076555,0.851674641148325,0.861244019138756
0.856459330143541,0.861244019138756,0.875598086124402,0.813397129186603,0.789473684210526,0.894736842105263,0.851674641148325,0.837320574162679
0.880382775119617,0.913875598086124,0.894736842105263,0.827751196172249,0.791866028708134,0.842105263157895,0.904306220095694,0.904306220095694
0.889952153110048,0.909090909090909,0.933014354066986,0.885167464114832,0.820574162679426,0.885167464114832,0.880382775119617,0.889952153110048
0.803827751196172,0.909090909090909,0.84688995215311,0.822966507177034,0.770334928229665,0.88755980861244,0.875598086124402,0.909090909090909
0.813397129186603,0.866028708133971,0.794258373205742,0.801435406698565,0.777511961722488,0.844497607655502,0.827751196172249,0.84688995215311
0.870813397129187,0.899521531100478,0.875598086124402,0.873205741626794,0.88755980861244,0.866028708133971,0.851674641148325,0.889952153110048
0.84688995215311,0.875598086124402,0.822966507177033,0.801435406698565,0.784688995215311,0.866028708133971,0.856459330143541,0.842105263157895
0.770334928229665,0.84688995215311,0.789473684210526,0.873205741626794,0.794258373205742,0.91866028708134,0.794258373205742,0.842105263157895
0.856459330143541,0.889952153110048,0.866028708133971,0.851674641148325,0.868421052631579,0.851674641148325,0.870813397129187,0.84688995215311
0.880382775119617,0.937799043062201,0.851674641148325,0.763157894736842,0.674641148325359,0.870813397129187,0.909090909090909,0.947368421052632
0.894736842105263,0.909090909090909,0.885167464114832,0.870813397129187,0.772727272727273,0.858851674641148,0.904306220095694,0.899521531100478
0.822966507177033,0.837320574162679,0.822966507177033,0.813397129186603,0.667464114832536,0.796650717703349,0.822966507177033,0.822966507177033
