"c.0.835555555555556..0.864444444444444..0.688888888888889..0.713333333333333..","c.0.8..0.826666666666667..0.648888888888889..0.704444444444444..","c.0.835555555555556..0.866666666666667..0.686666666666667..0.715555555555556..","c.0.995555555555556..0.984444444444444..1..1..0.995555555555556..","c.0.916666666666667..0.92..0.933333333333333..0.95..0.92..0.966666666666667..","c.0.984444444444444..0.988888888888889..0.991111111111111..0.994444444444444..","c.0.806666666666667..0.855555555555556..0.653333333333333..0.713333333333333..","c.0.966666666666667..0.913333333333333..0.955555555555556..0.982222222222222.."
0.835555555555556,0.8,0.835555555555556,0.995555555555556,0.916666666666667,0.984444444444444,0.806666666666667,0.966666666666667
0.864444444444444,0.826666666666667,0.866666666666667,0.984444444444444,0.92,0.988888888888889,0.855555555555556,0.913333333333333
0.688888888888889,0.648888888888889,0.686666666666667,1,0.933333333333333,0.991111111111111,0.653333333333333,0.955555555555556
0.713333333333333,0.704444444444444,0.715555555555556,1,0.95,0.994444444444444,0.713333333333333,0.982222222222222
0.822222222222222,0.777777777777778,0.826666666666667,0.995555555555556,0.92,0.995555555555556,0.811111111111111,0.966666666666667
0.862222222222222,0.836666666666667,0.857777777777778,0.993333333333333,0.966666666666667,0.992222222222222,0.835555555555555,0.97
0.86,0.88,0.857777777777778,1,0.966666666666667,1,0.857777777777778,0.995555555555556
0.788888888888889,0.775555555555556,0.793333333333333,0.987777777777778,0.915555555555556,0.99,0.784444444444444,0.973333333333333
0.715555555555556,0.737777777777778,0.715555555555556,0.992222222222222,0.9,0.993333333333333,0.704444444444444,0.988888888888889
0.875555555555556,0.846666666666667,0.873333333333333,1,0.983333333333333,1,0.862222222222222,0.997777777777778
0.806666666666667,0.784444444444444,0.8,1,0.947777777777778,0.991111111111111,0.793333333333333,0.972222222222222
0.795555555555556,0.767777777777778,0.786666666666667,1,0.95,1,0.784444444444444,0.98
0.826666666666667,0.834444444444444,0.831111111111111,1,0.966666666666667,1,0.826666666666667,0.997777777777778
0.906666666666667,0.841111111111111,0.911111111111111,0.995555555555556,0.952222222222222,0.997777777777778,0.875555555555556,0.984444444444444
0.717777777777778,0.662222222222222,0.72,0.992222222222222,0.886666666666667,0.991111111111111,0.704444444444444,0.955555555555555
0.8,0.771111111111111,0.804444444444444,0.993333333333333,0.966666666666667,1,0.78,0.991111111111111
0.855555555555556,0.841111111111111,0.855555555555556,0.998888888888889,0.966666666666667,1,0.835555555555555,0.997777777777778
0.806666666666667,0.763333333333333,0.8,0.995555555555556,0.983333333333333,0.997777777777778,0.784444444444444,0.98
0.784444444444444,0.731111111111111,0.788888888888889,1,0.95,0.992222222222222,0.766666666666667,0.968888888888889
0.795555555555556,0.75,0.813333333333333,0.991111111111111,0.916666666666667,0.995555555555556,0.784444444444444,0.964444444444444
0.804444444444444,0.813333333333333,0.795555555555556,1,0.916666666666667,0.977777777777778,0.795555555555556,0.933333333333333
0.806666666666667,0.794444444444445,0.811111111111111,0.948888888888889,0.833333333333333,0.972222222222222,0.793333333333333,0.96
0.682222222222222,0.694444444444444,0.682222222222222,1,0.933333333333333,0.995555555555556,0.724444444444444,0.988888888888889
0.704444444444444,0.668888888888889,0.693333333333333,1,0.95,0.995555555555556,0.666666666666667,0.98
0.853333333333333,0.791111111111111,0.848888888888889,0.994444444444444,0.883333333333333,0.982222222222222,0.786666666666667,0.988888888888889
0.82,0.83,0.82,0.994444444444444,0.916666666666667,0.98,0.817777777777778,0.988888888888889
