"mean.0","lower.0","upper.0","mean.1","lower.1","upper.1","mean.2","lower.2","upper.2","mean.3","lower.3","upper.3","mean.4","lower.4","upper.4","mean.5","lower.5","upper.5","mean.6","lower.6","upper.6","mean.7","lower.7","upper.7"
0,-0.0727185741150385,0.0727185741150385,0,-0.0573633544453347,0.0573633544453347,0,-0.070885849021298,0.070885849021298,0,-0.138946828694403,0.138946828694403,0,-0.151494364455096,0.151494364455096,0,-0.0726221658907125,0.0726221658907125,0,-0.0707907873808608,0.0707907873808608,0,-0.0719302567813331,0.0719302567813331
0.0929333333333334,0.00166679923176037,0.184199867434906,0.103395555555556,0.0303372933122936,0.176453817798818,0.0891666666666667,-0.000949077587675623,0.179282410921009,0.661224126984127,0.556959226788287,0.765489027179967,0.209047400793651,0.0815795733861359,0.336515228201166,0.662921195286195,0.596957486318457,0.728884904253934,0.1036,0.0124942105520646,0.194705789447935,0.523466666666667,0.442031834596486,0.604901498736848
0.126533333333333,0.0143126912802519,0.238753975386415,0.142768888888889,0.050417887325766,0.235119890452012,0.120666666666667,0.00913815773161919,0.232195175601714,0.761835555555556,0.680073992689122,0.84359711842199,0.360983690476191,0.196967025254199,0.525000355698182,0.771597825877826,0.707267225900495,0.835928425855158,0.1382,0.0249603675126017,0.251439632487398,0.650266666666667,0.554899598631919,0.745633734701415
0.160133333333333,0.0256726781623834,0.294593988504284,0.182142222222222,0.0687219953826449,0.2955624490618,0.152166666666667,0.0180842799794023,0.286249053353931,0.862446984126985,0.780303375411689,0.94459059284228,0.512919980158731,0.278589442666695,0.747250517650766,0.880274456469457,0.812189035440817,0.948359877498096,0.1728,0.0364908511403188,0.309109148859681,0.777066666666667,0.664978758244902,0.889154575088432
0.191666666666667,0.0485747079758469,0.334758625357487,0.213601851851852,0.0928272653784097,0.334376438325294,0.1832,0.0398381517675658,0.326561848232434,0.909784663382595,0.833537470488598,0.986031856276591,0.606143168568341,0.368843378566305,0.843442958570377,0.924366666666667,0.859166751549481,0.989566581783852,0.203333333333333,0.0584637182057803,0.348202948460887,0.833966666666667,0.726919056712696,0.941014276620638
0.222166666666667,0.0741143091671413,0.370219024166192,0.241104629629629,0.11815760881094,0.364051650448319,0.214,0.0648587996457797,0.36314120035422,0.930485467980295,0.869751611321064,0.991219324639527,0.670009806341487,0.459399125543707,0.880620487139267,0.936166666666667,0.877437543342504,0.99489578999083,0.231833333333333,0.0827415260353901,0.380925140631276,0.855916666666667,0.763095689909522,0.948737643423811
0.252666666666667,0.0959337485164761,0.409399584816857,0.268607407407407,0.141172999950672,0.396041814864142,0.2448,0.086242869487482,0.403357130512518,0.951186272577997,0.901873771000922,1,0.733876444114633,0.535673025814176,0.932079862415091,0.947966666666667,0.893565631497199,1,0.260333333333333,0.103572132540299,0.417094534126368,0.877866666666667,0.795212165552491,0.960521167780842
0.282466666666667,0.118017021649256,0.446916311684077,0.294786851851852,0.163057634067497,0.426516069636206,0.275566666666667,0.108052287164287,0.443081046169046,0.966989934318555,0.924063111775018,1,0.784265340791587,0.592121444718564,0.97640923686461,0.957883333333333,0.906932439851699,1,0.288133333333333,0.123793809064786,0.452472857601881,0.895430555555556,0.818606858073838,0.972254253037273
0.310866666666667,0.143879352216048,0.477853981117285,0.31831962962963,0.184681581237208,0.451957678022051,0.306266666666667,0.133509738501813,0.47902359483152,0.972999310344828,0.93709100916119,1,0.807698755276154,0.63379882801495,0.981598682537358,0.964033333333333,0.918708604005245,1,0.314533333333333,0.145837590507419,0.483229076159247,0.904222222222222,0.832226981908997,0.976217462535448
0.339266666666667,0.166711706245701,0.511821627087632,0.341852407407407,0.204111292795733,0.479593522019082,0.336966666666667,0.155665041022329,0.518268292311004,0.9790086863711,0.948082320699804,1,0.831132169760721,0.66933518574436,0.992929153777083,0.970183333333333,0.929592408532258,1,0.340933333333333,0.165054536172662,0.516812130494005,0.913013888888889,0.843241326508735,0.982786451269042
